Date,Creative,"Creative ID","Total Ads Requested"
2024-08-07,C3IQHPQ-4018710-AUL_FY24_ENG_Evergreen-Activate_300x250.zip,4748857,116277
2024-08-07,C3IQHPQ-4018710-AUL_FY24_ENG_Evergreen-Activate_300x600.zip,4748858,19126
2024-08-07,C3IQHPQ-4018710-AUL_FY24_ENG_Evergreen-Activate_320x50-2.jpg,4741071,89949
2024-08-07,C3IQHPQ-4018710-AUL_FY24_ENG_Evergreen-Activate_728x90.zip,4748859,42617
2024-08-07,C3J4N37-3539253-FY24_DLR_ENG_PremExp-CC-Custom_300x250.zip,4578224,3230
2024-08-07,C3J4N37-3539253-FY24_DLR_ENG_PremExp-CC-Custom_300x600.zip,4578226,5
2024-08-07,C3J4N37-3539253-FY24_DLR_ENG_PremExp-CC-Custom_320x50.jpg,4576446,541
2024-08-07,C3J4N37-3539253-FY24_DLR_ENG_PremExp-CC-Custom_728x90.zip,4578222,850
2024-08-07,C3J4N37-3539253-FY24_DLR_ENG_PremExp-CC-Custom_970x250.zip,4578225,1
2024-08-07,C3O13J9-3766430-WDW_FY24_ENG_EPCOTTransformation-Broad-Dom-PreK-Anim-DOM-PREK-NOOFF_160x600.zip,4666361,17490
2024-08-07,C3O13J9-3766430-WDW_FY24_ENG_EPCOTTransformation-Broad-Dom-PreK-Anim-DOM-PREK-NOOFF_300x250.zip,4666362,175712
2024-08-07,C3O13J9-3766430-WDW_FY24_ENG_EPCOTTransformation-Broad-Dom-PreK-Anim-DOM-PREK-NOOFF_300x600.zip,4666363,23822
2024-08-07,C3O13J9-3766430-WDW_FY24_ENG_EPCOTTransformation-Broad-Dom-PreK-Anim-DOM-PREK-NOOFF_320x50.jpg,4662572,135565
2024-08-07,C3O13J9-3766430-WDW_FY24_ENG_EPCOTTransformation-Broad-Dom-PreK-Anim-DOM-PREK-NOOFF_728x90.zip,4666364,76225
2024-08-07,C41905Y-3219150-RUND_FY23_ENG_runDisney-Lead-Generation-NOOFF_160x600.zip,4264213,18
2024-08-07,C41905Y-3219150-RUND_FY23_ENG_runDisney-Lead-Generation-NOOFF_300x250.zip,4264214,18
2024-08-07,C41905Y-3219150-RUND_FY23_ENG_runDisney-Lead-Generation-NOOFF_300x600.zip,4264215,18
2024-08-07,C41905Y-3219150-RUND_FY23_ENG_runDisney-Lead-Generation-NOOFF_728x90.zip,4264216,20
2024-08-07,"C4249OZ-4000893-NGE_FY24_ENG_Q4 Expedition Cruise NO OFF_160x600.jpg",4792888,7080
2024-08-07,"C4249OZ-4000893-NGE_FY24_ENG_Q4 Expedition Cruise NO OFF_300x250.jpg",4792889,35543
2024-08-07,"C4249OZ-4000893-NGE_FY24_ENG_Q4 Expedition Cruise NO OFF_300x600.jpg",4792890,5819
2024-08-07,"C4249OZ-4000893-NGE_FY24_ENG_Q4 Expedition Cruise NO OFF_320x50.jpg",4792891,34465
2024-08-07,"C4249OZ-4000893-NGE_FY24_ENG_Q4 Expedition Cruise NO OFF_728x90.jpg",4792892,7797
2024-08-07,C4HP4ML-3651401-WDW_FY24_ENG_DOM_FreeDineOffer_728x90.zip,4567587,0
2024-08-07,C4KDMK5-3713705-WDWRES-FY24-ResortsCollection-Activate-TSB-NOOFF-EN-320x50.png,4790450,318740
2024-08-07,C4KDMK5-3713705-WDWRES-FY24-ResortsCollection-Activate-TSB-NOOFF-EN_160x600.zip,4796883,60908
2024-08-07,C4KDMK5-3713705-WDWRES-FY24-ResortsCollection-Activate-TSB-NOOFF-EN_300x250.zip,4796880,416119
2024-08-07,C4KDMK5-3713705-WDWRES-FY24-ResortsCollection-Activate-TSB-NOOFF-EN_300x600.zip,4796879,41348
2024-08-07,C4KDMK5-3713705-WDWRES-FY24-ResortsCollection-Activate-TSB-NOOFF-EN_728x90.zip,4796878,137343
2024-08-07,C4PA3XJ_NA_SPT_FY24_ENG_Softball-Spring-Training_320x50.gif,4629287,0
2024-08-07,C4YBS87-3943503-WDW_FY24_SPA_Hispanic_Epcot_HISP_NOOFF_160x600.zip,4798833,164
2024-08-07,C4YBS87-3943503-WDW_FY24_SPA_Hispanic_Epcot_HISP_NOOFF_300x250.zip,4798834,13095
2024-08-07,C4YBS87-3943503-WDW_FY24_SPA_Hispanic_Epcot_HISP_NOOFF_300x600.zip,4798835,160
2024-08-07,C4YBS87-3943503-WDW_FY24_SPA_Hispanic_Epcot_HISP_NOOFF_320x50.jpg,4786124,16229
2024-08-07,C4YBS87-3943503-WDW_FY24_SPA_Hispanic_Epcot_HISP_NOOFF_728x90.zip,4798836,1517
2024-08-07,C5IVVVB-3899050-DLR_FY24_ENG_Medium-Rectangle-BBB_300x250.jpg,4703741,1913
2024-08-07,C5MFH1O-3936800-DCL_FY24_ENG_BlackConsumer_Came_to_Play_BLK_NOOFF_160x600.zip,4683372,26840
2024-08-07,C5MFH1O-3936800-DCL_FY24_ENG_BlackConsumer_Came_to_Play_BLK_NOOFF_300x250.zip,4683373,194649
2024-08-07,C5MFH1O-3936800-DCL_FY24_ENG_BlackConsumer_Came_to_Play_BLK_NOOFF_300x600.zip,4683374,50286
2024-08-07,C5MFH1O-3936800-DCL_FY24_ENG_BlackConsumer_Came_to_Play_BLK_NOOFF_320x50.jpg,4677501,263097
2024-08-07,C5MFH1O-3936800-DCL_FY24_ENG_BlackConsumer_Came_to_Play_BLK_NOOFF_728x90.zip,4683375,49978
2024-08-07,C5R7T2B-3732502-DVC_FY24_ENG_Palmetto-LeadsCabinNowOpen-DisplayBanners-DOM_160x600.zip,4614658,12746
2024-08-07,C5R7T2B-3732502-DVC_FY24_ENG_Palmetto-LeadsCabinNowOpen-DisplayBanners-DOM_300x250.zip,4614659,40326
2024-08-07,C5R7T2B-3732502-DVC_FY24_ENG_Palmetto-LeadsCabinNowOpen-DisplayBanners-DOM_300x600.zip,4614660,7801
2024-08-07,C5R7T2B-3732502-DVC_FY24_ENG_Palmetto-LeadsCabinNowOpen-DisplayBanners-DOM_320x50.jpg,4576822,19203
2024-08-07,C5R7T2B-3732502-DVC_FY24_ENG_Palmetto-LeadsCabinNowOpen-DisplayBanners-DOM_728x90.zip,4614661,22057
2024-08-07,C615OE8-3713705-WDW_FY24_ENG_ResortsCollection-Transact2-TSB-NOOFF-320x50.png,4790451,223327
2024-08-07,C615OE8-3713705-WDW_FY24_ENG_ResortsCollection_Transact2_TSB_NOOFF_160x600.zip,4797315,62139
2024-08-07,C615OE8-3713705-WDW_FY24_ENG_ResortsCollection_Transact2_TSB_NOOFF_300x250.zip,4797314,390462
2024-08-07,C615OE8-3713705-WDW_FY24_ENG_ResortsCollection_Transact2_TSB_NOOFF_300x600.zip,4797312,36636
2024-08-07,C615OE8-3713705-WDW_FY24_ENG_ResortsCollection_Transact2_TSB_NOOFF_728x90.zip,4797311,100972
2024-08-07,C615V9A-3550905-WDW_FY24_SPA_APAcquisition_Q1_Inspire_FLRES_AP_Disney_Pixie_Dust_Pass_160x600.zip,4481787,1145
